No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0006,Charizard,"fire, flying",,78,84,78,85,,100
0037,Vulpix,fire,,38,41,40,65,,65
0038,Ninetales,fire,,73,76,75,100,,100
0058,Growlithe,fire,,55,70,45,50,,60
0059,Arcanine,fire,,90,110,80,80,,95
0077,Ponyta,fire,,50,85,55,65,,90
0078,Rapidash,fire,,65,100,70,80,,105
0126,Magmar,fire,,65,95,57,85,,93
0136,Flareon,fire,,65,130,60,110,,65
0146,Moltres,"fire, flying",,90,100,90,125,,90
0006,Charizard,"fire, flying",,78,84,78,85,,100
0012,Butterfree,"bug, flying",,60,45,50,80,,70
0016,Pidgey,"normal, flying",,40,45,40,35,,56
0017,Pidgeotto,"normal, flying",,63,60,55,50,,71
0018,Pidgeot,"normal, flying",,83,80,75,70,,91
0021,Spearow,"normal, flying",,40,60,30,31,,70
0022,Fearow,"normal, flying",,65,90,65,61,,100
0041,Zubat,"poison, flying",,40,45,35,40,,55
0042,Golbat,"poison, flying",,75,80,70,75,,90
0083,Farfetch'd,"normal, flying",,52,65,55,58,,60
0084,Doduo,"normal, flying",,35,85,45,35,,75
0085,Dodrio,"normal, flying",,60,110,70,60,,100
0123,Scyther,"bug, flying",,70,110,80,55,,105
0130,Gyarados,"water, flying",,95,125,79,100,,81
0142,Aerodactyl,"rock, flying",,80,105,65,60,,130
0144,Articuno,"ice, flying",,90,85,100,125,,85
0145,Zapdos,"electric, flying",,90,90,85,125,,100
0146,Moltres,"fire, flying",,90,100,90,125,,90
0149,Dragonite,"dragon, flying",,91,134,95,100,,80
0092,Gastly,"ghost, poison",,30,35,30,100,,80
0093,Haunter,"ghost, poison",,45,50,45,115,,95
0094,Gengar,"ghost, poison",,60,65,60,130,,110
0001,Bulbasaur,"grass, poison",,45,49,49,65,,45
0002,Ivysaur,"grass, poison",,60,62,63,80,,60
0003,Venusaur,"grass, poison",,80,82,83,100,,80
0043,Oddish,"grass, poison",,45,50,55,75,,30
0044,Gloom,"grass, poison",,60,65,70,85,,40
0045,Vileplume,"grass, poison",,75,80,85,100,,50
0046,Paras,"bug, grass",,35,70,55,55,,25
0047,Parasect,"bug, grass",,60,95,80,80,,30
0069,Bellsprout,"grass, poison",,50,75,35,70,,40
0070,Weepinbell,"grass, poison",,65,90,50,85,,55
0071,Victreebel,"grass, poison",,80,105,65,100,,70
0102,Exeggcute,"grass, psychic",,60,40,80,60,,40
0103,Exeggutor,"grass, psychic",,95,95,85,125,,55
0114,Tangela,grass,,65,55,115,100,,60
0027,Sandshrew,ground,,50,75,85,30,,40
0028,Sandslash,ground,,75,100,110,55,,65
0031,Nidoqueen,"poison, ground",,90,82,87,75,,76
0034,Nidoking,"poison, ground",,81,92,77,75,,85
0050,Diglett,ground,,10,55,25,45,,95
0051,Dugtrio,ground,,35,80,50,70,,120
0074,Geodude,"rock, ground",,40,80,100,30,,20
0075,Graveler,"rock, ground",,55,95,115,45,,35
0076,Golem,"rock, ground",,80,110,130,55,,45
0095,Onix,"rock, ground",,35,45,160,30,,70
0104,Cubone,ground,,50,50,95,40,,35
0105,Marowak,ground,,60,80,110,50,,45
0111,Rhyhorn,"ground, rock",,80,85,95,30,,25
0112,Rhydon,"ground, rock",,105,130,120,45,,40
0087,Dewgong,"water, ice",,90,70,80,95,,70
0091,Cloyster,"water, ice",,50,95,180,85,,70
0124,Jynx,"ice, psychic",,65,50,35,95,,95
0131,Lapras,"water, ice",,130,85,80,95,,60
0144,Articuno,"ice, flying",,90,85,100,125,,85
0016,Pidgey,"normal, flying",,40,45,40,35,,56
0017,Pidgeotto,"normal, flying",,63,60,55,50,,71
0018,Pidgeot,"normal, flying",,83,80,75,70,,91
0019,Rattata,normal,,30,56,35,25,,72
0020,Raticate,normal,,55,81,60,50,,97
0021,Spearow,"normal, flying",,40,60,30,31,,70
0022,Fearow,"normal, flying",,65,90,65,61,,100
0035,Clefairy,normal,,70,45,48,60,,35
0036,Clefable,normal,,95,70,73,85,,60
0039,Jigglypuff,normal,,115,45,20,25,,20
0040,Wigglytuff,normal,,140,70,45,50,,45
0052,Meowth,normal,,40,45,35,40,,90
0053,Persian,normal,,65,70,60,65,,115
0083,Farfetch'd,"normal, flying",,52,65,55,58,,60
0084,Doduo,"normal, flying",,35,85,45,35,,75
0085,Dodrio,"normal, flying",,60,110,70,60,,100
0108,Lickitung,normal,,90,55,75,60,,30
0113,Chansey,normal,,250,5,5,105,,50
0115,Kangaskhan,normal,,105,95,80,40,,90
0128,Tauros,normal,,75,100,95,70,,110
0132,Ditto,normal,,48,48,48,48,,48
0133,Eevee,normal,,55,55,50,65,,55
0137,Porygon,normal,,65,60,70,75,,40
0143,Snorlax,normal,,160,110,65,65,,30
0001,Bulbasaur,"grass, poison",,45,49,49,65,,45
0002,Ivysaur,"grass, poison",,60,62,63,80,,60
0003,Venusaur,"grass, poison",,80,82,83,100,,80
0013,Weedle,"bug, poison",,40,35,30,20,,50
0014,Kakuna,"bug, poison",,45,25,50,25,,35
0015,Beedrill,"bug, poison",,65,80,40,45,,75
0023,Ekans,poison,,35,60,44,40,,55
0024,Arbok,poison,,60,85,69,65,,80
0029,Nidoran♀,poison,,55,47,52,40,,41
0030,Nidorina,poison,,70,62,67,55,,56
0031,Nidoqueen,"poison, ground",,90,82,87,75,,76
0032,Nidoran♂,poison,,46,57,40,40,,50
0033,Nidorino,poison,,61,72,57,55,,65
0034,Nidoking,"poison, ground",,81,92,77,75,,85
0041,Zubat,"poison, flying",,40,45,35,40,,55
0042,Golbat,"poison, flying",,75,80,70,75,,90
0043,Oddish,"grass, poison",,45,50,55,75,,30
0044,Gloom,"grass, poison",,60,65,70,85,,40
0045,Vileplume,"grass, poison",,75,80,85,100,,50
0048,Venonat,"bug, poison",,60,55,50,40,,45
0049,Venomoth,"bug, poison",,70,65,60,90,,90
0069,Bellsprout,"grass, poison",,50,75,35,70,,40
0070,Weepinbell,"grass, poison",,65,90,50,85,,55
0071,Victreebel,"grass, poison",,80,105,65,100,,70
0072,Tentacool,"water, poison",,40,40,35,100,,70
0073,Tentacruel,"water, poison",,80,70,65,120,,100
0088,Grimer,poison,,80,80,50,40,,25
0089,Muk,poison,,105,105,75,65,,50
0092,Gastly,"ghost, poison",,30,35,30,100,,80
0093,Haunter,"ghost, poison",,45,50,45,115,,95
0094,Gengar,"ghost, poison",,60,65,60,130,,110
0109,Koffing,poison,,40,65,95,60,,35
0110,Weezing,poison,,65,90,120,85,,60
0063,Abra,psychic,,25,20,15,105,,90
0064,Kadabra,psychic,,40,35,30,120,,105
0065,Alakazam,psychic,,55,50,45,135,,120
0079,Slowpoke,"water, psychic",,90,65,65,40,,15
0080,Slowbro,"water, psychic",,95,75,110,80,,30
0096,Drowzee,psychic,,60,48,45,90,,42
0097,Hypno,psychic,,85,73,70,115,,67
0102,Exeggcute,"grass, psychic",,60,40,80,60,,40
0103,Exeggutor,"grass, psychic",,95,95,85,125,,55
0121,Starmie,"water, psychic",,60,75,85,100,,115
0122,Mr. Mime,psychic,,40,45,65,100,,90
0124,Jynx,"ice, psychic",,65,50,35,95,,95
0150,Mewtwo,psychic,,106,110,90,154,,130
0151,Mew,psychic,,100,100,100,100,,100
0074,Geodude,"rock, ground",,40,80,100,30,,20
0075,Graveler,"rock, ground",,55,95,115,45,,35
0076,Golem,"rock, ground",,80,110,130,55,,45
0095,Onix,"rock, ground",,35,45,160,30,,70
0111,Rhyhorn,"ground, rock",,80,85,95,30,,25
0112,Rhydon,"ground, rock",,105,130,120,45,,40
0138,Omanyte,"rock, water",,35,40,100,90,,35
0139,Omastar,"rock, water",,70,60,125,115,,55
0140,Kabuto,"rock, water",,30,80,90,45,,55
0141,Kabutops,"rock, water",,60,115,105,70,,80
0142,Aerodactyl,"rock, flying",,80,105,65,60,,130
0081,Magnemite,electric,,25,35,70,95,,45
0082,Magneton,electric,,50,60,95,120,,70
0007,Squirtle,water,,44,48,65,50,,43
0008,Wartortle,water,,59,63,80,65,,58
0009,Blastoise,water,,79,83,100,85,,78
0054,Psyduck,water,,50,52,48,50,,55
0055,Golduck,water,,80,82,78,80,,85
0060,Poliwag,water,,40,50,40,40,,90
0061,Poliwhirl,water,,65,65,65,50,,90
0062,Poliwrath,"water, fighting",,90,85,95,70,,70
0072,Tentacool,"water, poison",,40,40,35,100,,70
0073,Tentacruel,"water, poison",,80,70,65,120,,100
0079,Slowpoke,"water, psychic",,90,65,65,40,,15
0080,Slowbro,"water, psychic",,95,75,110,80,,30
0086,Seel,water,,65,45,55,70,,45
0087,Dewgong,"water, ice",,90,70,80,95,,70
0090,Shellder,water,,30,65,100,45,,40
0091,Cloyster,"water, ice",,50,95,180,85,,70
0098,Krabby,water,,30,105,90,25,,50
0099,Kingler,water,,55,130,115,50,,75
0116,Horsea,water,,30,40,70,70,,60
0117,Seadra,water,,55,65,95,95,,85
0118,Goldeen,water,,45,67,60,50,,63
0119,Seaking,water,,80,92,65,80,,68
0120,Staryu,water,,30,45,55,70,,85
0121,Starmie,"water, psychic",,60,75,85,100,,115
0129,Magikarp,water,,20,10,55,20,,80
0130,Gyarados,"water, flying",,95,125,79,100,,81
0131,Lapras,"water, ice",,130,85,80,95,,60
0134,Vaporeon,water,,130,65,60,110,,65
0138,Omanyte,"rock, water",,35,40,100,90,,35
0139,Omastar,"rock, water",,70,60,125,115,,55
0140,Kabuto,"rock, water",,30,80,90,45,,55
0141,Kabutops,"rock, water",,60,115,105,70,,80
