No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0743,Ribombee,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",60,55,60,95,70,124
0751,Dewpider,"water, bug","Water Bubble, Water Absorb",38,40,52,40,72,27
0752,Araquanid,"water, bug","Water Bubble, Water Absorb",68,70,92,50,132,42
0872,Snom,"ice, bug","Shield Dust, Ice Scales",30,25,35,45,30,20
0873,Frosmoth,"ice, bug","Shield Dust, Ice Scales",70,65,60,125,90,65
0900,Kleavor,"bug, rock","Swarm, Sheer Force, Sharpness",70,135,95,45,70,85
0917,Tarountula,bug,"Insomnia, Stakeout",35,41,45,29,40,20
0918,Spidops,bug,"Insomnia, Stakeout",60,79,92,52,86,35
0919,Nymble,bug,"Swarm, Tinted Lens",33,46,40,21,25,45
0920,Lokix,"bug, dark","Swarm, Tinted Lens",71,102,78,52,55,92
0953,Rellor,bug,"Compoundeyes, Shed Skin",41,50,60,31,58,30
0954,Rabsca,"bug, psychic","Synchronize, Telepathy",75,50,85,115,100,45
0988,Slither Wing,"bug, fighting",Protosynthesis,85,135,79,85,105,81
0052,Meowth,dark,"Pickup, Technician, Rattled",40,35,35,50,40,90
0053,Persian,dark,"Fur Coat, Technician, Rattled",65,60,60,75,65,115
0088,Grimer,"poison, dark","Poison Touch, Gluttony, Power of Alchemy",80,80,50,40,50,25
0089,Muk,"poison, dark","Poison Touch, Gluttony, Power of Alchemy",105,105,75,65,100,50
0146,Moltres,"dark, flying","Berserk, Berserk",90,85,90,100,125,90
0197,Umbreon,dark,"Synchronize, Inner Focus",95,65,110,60,130,65
0198,Murkrow,"dark, flying","Insomnia, Super Luck, Prankster",60,85,42,85,42,91
0211,Qwilfish,"dark, poison","Poison Point, Swift Swim, Intimidate",65,95,85,55,55,85
0215,Sneasel,"dark, ice","Inner Focus, Keen Eye, Pickpocket",55,95,55,35,75,115
0228,Houndour,"dark, fire","Early Bird, Flash Fire, Unnerve",45,60,30,80,50,65
0229,Houndoom,"dark, fire","Early Bird, Flash Fire, Unnerve",75,90,50,110,80,95
0248,Tyranitar,"rock, dark","Sand Stream, Unnerve",100,134,110,95,100,61
0261,Poochyena,dark,"Run Away, Quick Feet, Rattled",35,55,35,30,30,35
0262,Mightyena,dark,"Intimidate, Quick Feet, Moxie",70,90,70,60,60,70
0274,Nuzleaf,"grass, dark","Chlorophyll, Early Bird, Pickpocket",70,70,40,60,40,60
0275,Shiftry,"grass, dark","Chlorophyll, Wind Rider, Pickpocket",90,100,60,90,60,80
0302,Sableye,"dark, ghost","Keen Eye, Stall, Prankster",50,75,75,65,65,50
0332,Cacturne,"grass, dark","Sand Veil, Water Absorb",70,115,60,115,60,55
0342,Crawdaunt,"water, dark","Hyper Cutter, Shell Armor, Adaptability",63,120,85,90,55,55
0430,Honchkrow,"dark, flying","Insomnia, Super Luck, Moxie",100,125,52,105,52,71
0434,Stunky,"poison, dark","Stench, Aftermath, Keen Eye",63,63,47,41,41,74
0435,Skuntank,"poison, dark","Stench, Aftermath, Keen Eye",103,93,67,71,61,84
0442,Spiritomb,"ghost, dark","Pressure, Infiltrator",50,92,108,92,108,35
0461,Weavile,"dark, ice","Pressure, Pickpocket",70,120,65,45,85,125
0491,Darkrai,dark,Bad Dreams,70,90,90,135,90,125
0493,Arceus,dark,Multitype,120,120,120,120,120,120
0503,Samurott,"water, dark","Torrent, Sharpness",90,108,80,100,65,85
0551,Sandile,"ground, dark","Intimidate, Moxie, Anger Point",50,72,35,35,35,65
0552,Krokorok,"ground, dark","Intimidate, Moxie, Anger Point",60,82,45,45,45,74
0553,Krookodile,"ground, dark","Intimidate, Moxie, Anger Point",95,117,80,65,70,92
0559,Scraggy,"dark, fighting","Shed Skin, Moxie, Intimidate",50,75,70,35,70,48
0560,Scrafty,"dark, fighting","Shed Skin, Moxie, Intimidate",65,90,115,45,115,58
0570,Zorua,dark,Illusion,40,65,40,80,40,65
0571,Zoroark,dark,Illusion,60,105,60,120,60,105
0624,Pawniard,"dark, steel","Defiant, Inner Focus, Pressure",45,85,70,40,40,60
0625,Bisharp,"dark, steel","Defiant, Inner Focus, Pressure",65,125,100,60,70,70
0629,Vullaby,"dark, flying","Big Pecks, Overcoat, Weak Armor",70,55,75,45,65,60
0630,Mandibuzz,"dark, flying","Big Pecks, Overcoat, Weak Armor",110,65,105,55,95,80
0633,Deino,"dark, dragon",Hustle,52,65,50,45,50,38
0634,Zweilous,"dark, dragon",Hustle,72,85,70,65,70,58
0635,Hydreigon,"dark, dragon",Levitate,92,105,90,125,90,98
0658,Greninja,"water, dark","Torrent, Protean",72,95,67,103,71,122
0686,Inkay,"dark, psychic","Contrary, Suction Cups, Infiltrator",53,54,53,37,46,45
0687,Malamar,"dark, psychic","Contrary, Suction Cups, Infiltrator",86,92,88,68,75,73
0727,Incineroar,"fire, dark","Blaze, Intimidate",95,115,90,80,90,60
0859,Impidimp,"dark, fairy","Prankster, Frisk, Pickpocket",45,45,30,55,40,50
0860,Morgrem,"dark, fairy","Prankster, Frisk, Pickpocket",65,60,45,75,55,70
0861,Grimmsnarl,"dark, fairy","Prankster, Frisk, Pickpocket",95,120,65,95,75,60
0877,Morpeko,"electric, dark",Hunger Switch,58,95,58,70,58,97
0892,Urshifu,"fighting, dark",Unseen Fist,100,130,100,63,60,97
0893,Zarude,"dark, grass",Leaf Guard,105,120,105,70,95,105
0904,Overqwil,"dark, poison","Poison Point, Swift Swim, Intimidate",85,115,95,65,65,85
0908,Meowscarada,"grass, dark","Overgrow, Protean",76,110,70,81,70,123
0920,Lokix,"bug, dark","Swarm, Tinted Lens",71,102,78,52,55,92
0942,Maschiff,dark,"Intimidate, Run Away, Stakeout",60,78,60,40,51,51
0943,Mabosstiff,dark,"Intimidate, Guard Dog, Stakeout",80,120,90,60,70,85
0962,Bombirdier,"flying, dark","Big Pecks, Keen Eye, Rocky Payload",70,103,85,60,85,82
0983,Kingambit,"dark, steel","Defiant, Supreme Overlord, Pressure",100,135,120,60,85,50
0986,Brute Bonnet,"grass, dark",Protosynthesis,111,127,99,79,99,55
0993,Iron Jugulis,"dark, flying",Quark Drive,94,80,86,122,80,108
1001,Wo-Chien,"dark, grass",Tablets of Ruin,85,85,100,95,135,70
1002,Chien-Pao,"dark, ice",Sword of Ruin,80,120,80,90,65,135
1003,Ting-Lu,"dark, ground",Vessel of Ruin,155,110,125,55,80,45
1004,Chi-Yu,"dark, fire",Beads of Ruin,55,80,80,135,120,100
1005,Roaring Moon,"dragon, dark",Protosynthesis,105,139,71,55,101,119
0103,Exeggutor,"grass, dragon","Frisk, Harvest",95,105,85,125,75,45
0147,Dratini,dragon,"Shed Skin, Marvel Scale",41,64,45,50,50,50
0148,Dragonair,dragon,"Shed Skin, Marvel Scale",61,84,65,70,70,70
0149,Dragonite,"dragon, flying","Inner Focus, Multiscale",91,134,95,100,100,80
0230,Kingdra,"water, dragon","Swift Swim, Sniper, Damp",75,95,95,95,95,85
0329,Vibrava,"ground, dragon",Levitate,50,70,50,50,50,70
0330,Flygon,"ground, dragon",Levitate,80,100,80,80,80,100
0334,Altaria,"dragon, flying","Natural Cure, Cloud Nine",75,70,90,70,105,80
0371,Bagon,dragon,"Rock Head, Sheer Force",45,75,60,40,30,50
0372,Shelgon,dragon,"Rock Head, Overcoat",65,95,100,60,50,50
0373,Salamence,"dragon, flying","Intimidate, Moxie",95,135,80,110,80,100
0380,Latias,"dragon, psychic",Levitate,80,80,90,110,130,110
0381,Latios,"dragon, psychic",Levitate,80,90,80,130,110,110
0384,Rayquaza,"dragon, flying",Air Lock,105,150,90,150,90,95
0443,Gible,"dragon, ground","Sand Veil, Rough Skin",58,70,45,40,45,42
0444,Gabite,"dragon, ground","Sand Veil, Rough Skin",68,90,65,50,55,82
0445,Garchomp,"dragon, ground","Sand Veil, Rough Skin",108,130,95,80,85,102
0483,Dialga,"steel, dragon","Pressure, Telepathy",100,120,120,150,100,90
0483,Dialga,"steel, dragon","Pressure, Telepathy",100,100,120,150,120,90
0484,Palkia,"water, dragon","Pressure, Telepathy",90,120,100,150,120,100
0484,Palkia,"water, dragon","Pressure, Telepathy",90,100,100,150,120,120
0487,Giratina,"ghost, dragon","Pressure, Telepathy",150,100,120,100,120,90
0487,Giratina,"ghost, dragon",Levitate,150,120,100,120,100,90
0493,Arceus,dragon,Multitype,120,120,120,120,120,120
0610,Axew,dragon,"Rivalry, Mold Breaker, Unnerve",46,87,60,30,40,57
0611,Fraxure,dragon,"Rivalry, Mold Breaker, Unnerve",66,117,70,40,50,67
0612,Haxorus,dragon,"Rivalry, Mold Breaker, Unnerve",76,147,90,60,70,97
0633,Deino,"dark, dragon",Hustle,52,65,50,45,50,38
0634,Zweilous,"dark, dragon",Hustle,72,85,70,65,70,58
0635,Hydreigon,"dark, dragon",Levitate,92,105,90,125,90,98
0643,Reshiram,"dragon, fire",Turboblaze,100,120,100,150,120,90
0644,Zekrom,"dragon, electric",Teravolt,100,150,120,120,100,90
0646,Kyurem,"dragon, ice",Pressure,125,130,90,130,90,95
0646,Kyurem,"dragon, ice",Teravolt,125,170,100,120,90,95
0646,Kyurem,"dragon, ice",Turboblaze,125,120,90,170,100,95
0691,Dragalge,"poison, dragon","Poison Point, Poison Touch, Adaptability",65,75,90,97,123,44
0704,Goomy,dragon,"Sap Sipper, Hydration, Gooey",45,50,35,55,75,40
0705,Sliggoo,dragon,"Sap Sipper, Hydration, Gooey",68,75,53,83,113,60
0705,Sliggoo,"steel, dragon","Sap Sipper, Shell Armor, Gooey",58,75,83,83,113,40
0706,Goodra,dragon,"Sap Sipper, Hydration, Gooey",90,100,70,110,150,80
0706,Goodra,"steel, dragon","Sap Sipper, Shell Armor, Gooey",80,100,100,110,150,60
0714,Noibat,"flying, dragon","Frisk, Infiltrator, Telepathy",40,30,35,45,40,55
0715,Noivern,"flying, dragon","Frisk, Infiltrator, Telepathy",85,70,80,97,80,123
0782,Jangmo-o,dragon,"Bulletproof, Soundproof, Overcoat",45,55,65,45,45,45
0783,Hakamo-o,"dragon, fighting","Bulletproof, Soundproof, Overcoat",55,75,90,65,70,65
0784,Kommo-o,"dragon, fighting","Bulletproof, Soundproof, Overcoat",75,110,125,100,105,85
0840,Applin,"grass, dragon","Ripen, Gluttony, Bulletproof",40,40,80,40,40,20
0841,Flapple,"grass, dragon","Ripen, Gluttony, Hustle",70,110,80,95,60,70
0842,Appletun,"grass, dragon","Ripen, Gluttony, Thick Fat",110,85,80,100,80,30
0884,Duraludon,"steel, dragon","Light Metal, Heavy Metal, Stalwart",70,95,115,120,50,85
0885,Dreepy,"dragon, ghost","Clear Body, Infiltrator, Cursed Body",28,60,30,40,30,82
0886,Drakloak,"dragon, ghost","Clear Body, Infiltrator, Cursed Body",68,80,50,60,50,102
0887,Dragapult,"dragon, ghost","Clear Body, Infiltrator, Cursed Body",88,120,75,100,75,142
0890,Eternatus,"poison, dragon",Pressure,140,85,95,145,95,130
0895,Regidrago,dragon,Dragon's Maw,200,100,50,100,50,80
0967,Cyclizar,"dragon, normal","Shed Skin, Regenerator",70,95,65,85,65,121
0978,Tatsugiri,"dragon, water","Commander, Storm Drain",68,50,60,120,95,82
0996,Frigibax,"dragon, ice","Thermal Exchange, Ice Body",65,75,45,35,45,55
0997,Arctibax,"dragon, ice","Thermal Exchange, Ice Body",90,95,66,45,65,62
0998,Baxcalibur,"dragon, ice","Thermal Exchange, Ice Body",115,145,92,75,86,87
1005,Roaring Moon,"dragon, dark",Protosynthesis,105,139,71,55,101,119
1007,Koraidon,"fighting, dragon",Orichalcum Pulse,100,135,115,85,100,135
1008,Miraidon,"electric, dragon",Hadron Engine,100,85,100,135,115,135
1009,Walking Wake,"water, dragon",Protosynthesis,99,83,91,125,83,109
1011,Dipplin,"grass, dragon","Supersweet Syrup, Gluttony, Sticky Hold",80,80,110,95,80,40
1018,Archaludon,"steel, dragon","Stamina, Sturdy, Stalwart",90,105,130,125,65,85
1019,Hydrapple,"grass, dragon","Supersweet Syrup, Regenerator, Sticky Hold",106,80,110,120,80,44
1020,Gouging Fire,"fire, dragon",Protosynthesis,105,115,121,65,93,91
1021,Raging Bolt,"electric, dragon",Protosynthesis,125,73,91,137,89,75
0025,Pikachu,electric,"Static, Lightning Rod",35,55,40,50,50,90
0026,Raichu,electric,"Static, Lightning Rod",60,90,55,90,80,110
0026,Raichu,"electric, psychic","Surge Surfer, Surge Surfer",60,85,50,95,85,110
0074,Geodude,"rock, electric","Magnet Pull, Sturdy, Galvanize",40,80,100,30,30,20
0075,Graveler,"rock, electric","Magnet Pull, Sturdy, Galvanize",55,95,115,45,45,35
0076,Golem,"rock, electric","Magnet Pull, Sturdy, Galvanize",80,120,130,55,65,45
0081,Magnemite,"electric, steel","Magnet Pull, Sturdy, Analytic",25,35,70,95,55,45
0082,Magneton,"electric, steel","Magnet Pull, Sturdy, Analytic",50,60,95,120,70,70
0100,Voltorb,electric,"Soundproof, Static, Aftermath",40,30,50,55,55,100
0100,Voltorb,"electric, grass","Soundproof, Static, Aftermath",40,30,50,55,55,100
0101,Electrode,electric,"Soundproof, Static, Aftermath",60,50,70,80,80,150
0101,Electrode,"electric, grass","Soundproof, Static, Aftermath",60,50,70,80,80,150
0125,Electabuzz,electric,"Static, Vital Spirit",65,83,57,95,85,105
0135,Jolteon,electric,"Volt Absorb, Quick Feet",65,65,60,110,95,130
0145,Zapdos,"electric, flying","Pressure, Static",90,90,85,125,90,100
0170,Chinchou,"water, electric","Volt Absorb, Illuminate, Water Absorb",75,38,38,56,56,67
0171,Lanturn,"water, electric","Volt Absorb, Illuminate, Water Absorb",125,58,58,76,76,67
0172,Pichu,electric,"Static, Lightning Rod",20,40,15,35,35,60
0179,Mareep,electric,"Static, Plus",55,40,40,65,45,35
0180,Flaaffy,electric,"Static, Plus",70,55,55,80,60,45
0181,Ampharos,electric,"Static, Plus",90,75,85,115,90,55
0239,Elekid,electric,"Static, Vital Spirit",45,63,37,65,55,95
0243,Raikou,electric,"Pressure, Inner Focus",90,85,75,115,100,115
0311,Plusle,electric,"Plus, Lightning Rod",60,50,40,85,75,95
0312,Minun,electric,"Minus, Volt Absorb",60,40,50,75,85,95
0403,Shinx,electric,"Rivalry, Intimidate, Guts",45,65,34,40,34,45
0404,Luxio,electric,"Rivalry, Intimidate, Guts",60,85,49,60,49,60
0405,Luxray,electric,"Rivalry, Intimidate, Guts",80,120,79,95,79,70
0417,Pachirisu,electric,"Run Away, Pickup, Volt Absorb",60,45,70,45,90,95
0462,Magnezone,"electric, steel","Magnet Pull, Sturdy, Analytic",70,70,115,130,90,60
0466,Electivire,electric,"Motor Drive, Vital Spirit",75,123,67,95,85,95
0479,Rotom,"electric, ghost",Levitate,50,50,77,95,77,91
0479,Rotom,"electric, flying",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, ice",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, fire",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, grass",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, water",Levitate,50,65,107,105,107,86
0493,Arceus,electric,Multitype,120,120,120,120,120,120
0522,Blitzle,electric,"Lightning Rod, Motor Drive, Sap Sipper",45,60,32,50,32,76
0523,Zebstrika,electric,"Lightning Rod, Motor Drive, Sap Sipper",75,100,63,80,63,116
0595,Joltik,"bug, electric","Compoundeyes, Unnerve, Swarm",50,47,50,57,50,65
0596,Galvantula,"bug, electric","Compoundeyes, Unnerve, Swarm",70,77,60,97,60,108
0602,Tynamo,electric,Levitate,35,55,40,45,40,60
0603,Eelektrik,electric,Levitate,65,85,70,75,70,40
0604,Eelektross,electric,Levitate,85,115,80,105,80,50
0642,Thundurus,"electric, flying","Prankster, Defiant",79,115,70,125,80,111
0642,Thundurus,"electric, flying",Volt Absorb,79,105,70,145,80,101
0644,Zekrom,"dragon, electric",Teravolt,100,150,120,120,100,90
0702,Dedenne,"electric, fairy","Cheek Pouch, Pickup, Plus",67,58,57,81,67,101
0737,Charjabug,"bug, electric",Battery,57,82,95,55,75,36
0738,Vikavolt,"bug, electric",Levitate,77,70,90,145,75,43
0848,Toxel,"electric, poison","Rattled, Static, Klutz",40,38,35,54,35,40
0849,Toxtricity,"electric, poison","Punk Rock, Plus, Technician",75,98,70,114,70,75
0871,Pincurchin,electric,"Lightning Rod, Electric Surge",48,101,95,91,85,15
0877,Morpeko,"electric, dark",Hunger Switch,58,95,58,70,58,97
0894,Regieleki,electric,Transistor,80,100,50,100,50,200
0921,Pawmi,electric,"Static, Natural Cure, Iron Fist",45,50,20,40,25,60
0922,Pawmo,"electric, fighting","Volt Absorb, Natural Cure, Iron Fist",60,75,40,50,40,85
0923,Pawmot,"electric, fighting","Volt Absorb, Natural Cure, Iron Fist",70,115,70,70,60,105
0938,Tadbulb,electric,"Own Tempo, Static, Damp",61,31,41,59,35,45
0939,Bellibolt,electric,"Electromorphosis, Static, Damp",109,64,91,103,83,45
0940,Wattrel,"electric, flying","Wind Power, Volt Absorb, Competitive",40,40,35,55,40,70
0941,Kilowattrel,"electric, flying","Wind Power, Volt Absorb, Competitive",70,70,60,105,60,125
0989,Sandy Shocks,"electric, ground",Protosynthesis,85,81,97,121,85,101
0992,Iron Hands,"fighting, electric",Quark Drive,154,140,108,50,68,50
0995,Iron Thorns,"rock, electric",Quark Drive,100,134,110,70,84,72
1008,Miraidon,"electric, dragon",Hadron Engine,100,85,100,135,115,135
1021,Raging Bolt,"electric, dragon",Protosynthesis,125,73,91,137,89,75
0035,Clefairy,fairy,"Cute Charm, Magic Guard, Friend Guard",70,45,48,60,65,35
0036,Clefable,fairy,"Cute Charm, Magic Guard, Unaware",95,70,73,95,90,60
0038,Ninetales,"ice, fairy","Snow Cloak, Snow Warning",73,67,75,81,100,109
0039,Jigglypuff,"normal, fairy","Cute Charm, Competitive, Friend Guard",115,45,20,45,25,20
0040,Wigglytuff,"normal, fairy","Cute Charm, Competitive, Frisk",140,70,45,85,50,45
0110,Weezing,"poison, fairy","Levitate, Neutralizing Gas, Misty Surge",65,90,120,85,70,60
0173,Cleffa,fairy,"Cute Charm, Magic Guard, Friend Guard",50,25,28,45,55,15
0174,Igglybuff,"normal, fairy","Cute Charm, Competitive, Friend Guard",90,30,15,40,20,15
0183,Marill,"water, fairy","Thick Fat, Huge Power, Sap Sipper",70,20,50,20,50,40
0184,Azumarill,"water, fairy","Thick Fat, Huge Power, Sap Sipper",100,50,80,60,80,50
0209,Snubbull,fairy,"Intimidate, Run Away, Rattled",60,80,50,40,40,30
0210,Granbull,fairy,"Intimidate, Quick Feet, Rattled",90,120,75,60,60,45
0280,Ralts,"psychic, fairy","Synchronize, Trace, Telepathy",28,25,25,45,35,40
0281,Kirlia,"psychic, fairy","Synchronize, Trace, Telepathy",38,35,35,65,55,50
0282,Gardevoir,"psychic, fairy","Synchronize, Trace, Telepathy",68,65,65,125,115,80
0298,Azurill,"normal, fairy","Thick Fat, Huge Power, Sap Sipper",50,20,40,20,40,20
0493,Arceus,fairy,Multitype,120,120,120,120,120,120
0546,Cottonee,"grass, fairy","Prankster, Infiltrator, Chlorophyll",40,27,60,37,50,66
0547,Whimsicott,"grass, fairy","Prankster, Infiltrator, Chlorophyll",60,67,85,77,75,116
0669,Flabébé,fairy,"Flower Veil, Symbiosis",44,38,39,61,79,42
0670,Floette,fairy,"Flower Veil, Symbiosis",54,45,47,75,98,52
0671,Florges,fairy,"Flower Veil, Symbiosis",78,65,68,112,154,75
0700,Sylveon,fairy,"Cute Charm, Pixilate",95,65,65,110,130,60
0702,Dedenne,"electric, fairy","Cheek Pouch, Pickup, Plus",67,58,57,81,67,101
0703,Carbink,"rock, fairy","Clear Body, Sturdy",50,50,150,50,150,50
0707,Klefki,"steel, fairy","Prankster, Magician",57,80,91,80,87,75
0719,Diancie,"rock, fairy",Clear Body,50,100,150,100,150,50
0730,Primarina,"water, fairy","Torrent, Liquid Voice",80,74,74,126,116,60
0742,Cutiefly,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",40,45,40,55,40,84
0743,Ribombee,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",60,55,60,95,70,124
0764,Comfey,fairy,"Flower Veil, Triage, Natural Cure",51,52,90,82,110,100
0778,Mimikyu,"ghost, fairy",Disguise,55,90,80,50,105,96
0801,Magearna,"steel, fairy",Soul-Heart,80,95,115,130,115,65
0858,Hatterene,"psychic, fairy","Healer, Anticipation, Magic Bounce",57,90,95,136,103,29
0859,Impidimp,"dark, fairy","Prankster, Frisk, Pickpocket",45,45,30,55,40,50
0860,Morgrem,"dark, fairy","Prankster, Frisk, Pickpocket",65,60,45,75,55,70
0861,Grimmsnarl,"dark, fairy","Prankster, Frisk, Pickpocket",95,120,65,95,75,60
0868,Milcery,fairy,"Sweet Veil, Aroma Veil",45,40,40,50,61,34
0869,Alcremie,fairy,"Sweet Veil, Aroma Veil",65,60,75,110,121,64
0888,Zacian,fairy,Intrepid Sword,92,120,115,80,115,138
0888,Zacian,"fairy, steel",Intrepid Sword,92,150,115,80,115,148
0905,Enamorus,"fairy, flying","Cute Charm, Contrary",74,115,70,135,80,106
0905,Enamorus,"fairy, flying",Overcoat,74,115,110,135,100,46
0926,Fidough,fairy,"Own Tempo, Klutz",37,55,70,30,55,65
0927,Dachsbun,fairy,"Well-Baked Body, Aroma Veil",57,80,115,50,80,95
0957,Tinkatink,"fairy, steel","Mold Breaker, Own Tempo, Pickpocket",50,45,45,35,64,58
0958,Tinkatuff,"fairy, steel","Mold Breaker, Own Tempo, Pickpocket",65,55,55,45,82,78
0959,Tinkaton,"fairy, steel","Mold Breaker, Own Tempo, Pickpocket",85,75,77,70,105,94
0985,Scream Tail,"fairy, psychic",Protosynthesis,115,65,99,65,115,111
0987,Flutter Mane,"ghost, fairy",Protosynthesis,55,55,55,135,135,135
1006,Iron Valiant,"fairy, fighting",Quark Drive,74,130,90,120,60,116
1016,Fezandipiti,"poison, fairy","Toxic Chain, Technician",88,91,82,70,125,99
0056,Mankey,fighting,"Vital Spirit, Anger Point, Defiant",40,80,35,35,45,70
0057,Primeape,fighting,"Vital Spirit, Anger Point, Defiant",65,105,60,60,70,95
0062,Poliwrath,"water, fighting","Water Absorb, Damp, Swift Swim",90,95,95,70,90,70
0106,Hitmonlee,fighting,"Limber, Reckless, Unburden",50,120,53,35,110,87
0107,Hitmonchan,fighting,"Keen Eye, Iron Fist, Inner Focus",50,105,79,35,110,76
0128,Tauros,fighting,"Intimidate, Anger Point, Cud Chew",75,110,105,30,70,100
0128,Tauros,"fighting, fire","Intimidate, Anger Point, Cud Chew",75,110,105,30,70,100
0128,Tauros,"fighting, water","Intimidate, Anger Point, Cud Chew",75,110,105,30,70,100
0145,Zapdos,"fighting, flying","Defiant, Defiant",90,125,90,85,90,100
0214,Heracross,"bug, fighting","Swarm, Guts, Moxie",80,125,75,40,95,85
0215,Sneasel,"fighting, poison","Inner Focus, Keen Eye, Pickpocket",55,95,55,35,75,115
0236,Tyrogue,fighting,"Guts, Steadfast, Vital Spirit",35,35,35,35,35,35
0237,Hitmontop,fighting,"Intimidate, Technician, Steadfast",50,95,95,35,110,70
0256,Combusken,"fire, fighting","Blaze, Speed Boost",60,85,60,85,60,55
0257,Blaziken,"fire, fighting","Blaze, Speed Boost",80,120,70,110,70,80
0286,Breloom,"grass, fighting","Effect Spore, Poison Heal, Technician",60,130,80,60,60,70
0296,Makuhita,fighting,"Thick Fat, Guts, Sheer Force",72,60,30,20,30,25
0297,Hariyama,fighting,"Thick Fat, Guts, Sheer Force",144,120,60,40,60,50
0307,Meditite,"fighting, psychic","Pure Power, Telepathy",30,40,55,40,55,60
0308,Medicham,"fighting, psychic","Pure Power, Telepathy",60,60,75,60,75,80
0391,Monferno,"fire, fighting","Blaze, Iron Fist",64,78,52,78,52,81
0392,Infernape,"fire, fighting","Blaze, Iron Fist",76,104,71,104,71,108
0447,Riolu,fighting,"Steadfast, Inner Focus, Prankster",40,70,40,35,40,60
0448,Lucario,"fighting, steel","Steadfast, Inner Focus, Justified",70,110,70,115,70,90
0453,Croagunk,"poison, fighting","Anticipation, Dry Skin, Poison Touch",48,61,40,61,40,50
0454,Toxicroak,"poison, fighting","Anticipation, Dry Skin, Poison Touch",83,106,65,86,65,85
0475,Gallade,"psychic, fighting","Steadfast, Sharpness, Justified",68,125,65,65,115,80
0493,Arceus,fighting,Multitype,120,120,120,120,120,120
0499,Pignite,"fire, fighting","Blaze, Thick Fat",90,93,55,70,55,55
0500,Emboar,"fire, fighting","Blaze, Reckless",110,123,65,100,65,65
0532,Timburr,fighting,"Guts, Sheer Force, Iron Fist",75,80,55,25,35,35
0533,Gurdurr,fighting,"Guts, Sheer Force, Iron Fist",85,105,85,40,50,40
0534,Conkeldurr,fighting,"Guts, Sheer Force, Iron Fist",105,140,95,55,65,45
