No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0469,Yanmega,"bug, flying","Speed Boost, Tinted Lens, Frisk",86,76,86,116,56,95
0493,Arceus,bug,Multitype,120,120,120,120,120,120
0543,Venipede,"bug, poison","Poison Point, Swarm, Speed Boost",30,45,59,30,39,57
0544,Whirlipede,"bug, poison","Poison Point, Swarm, Speed Boost",40,55,99,40,79,47
0545,Scolipede,"bug, poison","Poison Point, Swarm, Speed Boost",60,100,89,55,69,112
0557,Dwebble,"bug, rock","Sturdy, Shell Armor, Weak Armor",50,65,85,35,35,55
0558,Crustle,"bug, rock","Sturdy, Shell Armor, Weak Armor",70,105,125,65,75,45
0588,Karrablast,bug,"Swarm, Shed Skin, No Guard",50,75,45,40,45,60
0589,Escavalier,"bug, steel","Swarm, Shell Armor, Overcoat",70,135,105,60,105,20
0595,Joltik,"bug, electric","Compoundeyes, Unnerve, Swarm",50,47,50,57,50,65
0596,Galvantula,"bug, electric","Compoundeyes, Unnerve, Swarm",70,77,60,97,60,108
0616,Shelmet,bug,"Hydration, Shell Armor, Overcoat",50,40,85,40,65,25
0617,Accelgor,bug,"Hydration, Sticky Hold, Unburden",80,70,40,100,60,145
0632,Durant,"bug, steel","Swarm, Hustle, Truant",58,109,112,48,48,109
0636,Larvesta,"bug, fire","Flame Body, Swarm",55,85,55,50,55,60
0637,Volcarona,"bug, fire","Flame Body, Swarm",85,60,65,135,105,100
0649,Genesect,"bug, steel",Download,71,120,95,120,95,99
0736,Grubbin,bug,Swarm,47,62,45,55,45,46
0737,Charjabug,"bug, electric",Battery,57,82,95,55,75,36
0738,Vikavolt,"bug, electric",Levitate,77,70,90,145,75,43
0742,Cutiefly,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",40,45,40,55,40,84
0743,Ribombee,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",60,55,60,95,70,124
0751,Dewpider,"water, bug","Water Bubble, Water Absorb",38,40,52,40,72,27
0752,Araquanid,"water, bug","Water Bubble, Water Absorb",68,70,92,50,132,42
0767,Wimpod,"bug, water",Wimp Out,25,35,40,20,30,80
0768,Golisopod,"bug, water",Emergency Exit,75,125,140,60,90,40
0773,Silvally,bug,RKS System,95,95,95,95,95,95
0794,Buzzwole,"bug, fighting",Beast Boost,107,139,139,53,53,79
0795,Pheromosa,"bug, fighting",Beast Boost,71,137,37,137,37,151
0824,Blipbug,bug,"Swarm, Compoundeyes, Telepathy",25,20,20,25,45,45
0825,Dottler,"bug, psychic","Swarm, Compoundeyes, Telepathy",50,35,80,50,90,30
0826,Orbeetle,"bug, psychic","Swarm, Frisk, Telepathy",60,45,110,80,120,90
0826,Orbeetle,"bug, psychic","Swarm, Frisk, Telepathy",60,45,110,80,120,90
0850,Sizzlipede,"fire, bug","Flash Fire, White Smoke, Flame Body",50,65,45,50,50,45
0851,Centiskorch,"fire, bug","Flash Fire, White Smoke, Flame Body",100,115,65,90,90,65
0851,Centiskorch,"fire, bug","Flash Fire, White Smoke, Flame Body",100,115,65,90,90,65
0872,Snom,"ice, bug","Shield Dust, Ice Scales",30,25,35,45,30,20
0873,Frosmoth,"ice, bug","Shield Dust, Ice Scales",70,65,60,125,90,65
0900,Kleavor,"bug, rock","Swarm, Sheer Force, Steadfast",70,135,95,45,70,85
0052,Meowth,dark,"Pickup, Technician, Rattled",40,35,35,50,40,90
0053,Persian,dark,"Fur Coat, Technician, Rattled",65,60,60,75,65,115
0146,Moltres,"dark, flying","Berserk, Berserk",90,85,90,100,125,90
0197,Umbreon,dark,"Synchronize, Inner Focus",95,65,110,60,130,65
0198,Murkrow,"dark, flying","Insomnia, Super Luck, Prankster",60,85,42,85,42,91
0211,Qwilfish,"dark, poison","Poison Point, Swift Swim, Intimidate",65,95,85,55,55,85
0215,Sneasel,"dark, ice","Inner Focus, Keen Eye, Pickpocket",55,95,55,35,75,115
0228,Houndour,"dark, fire","Early Bird, Flash Fire, Unnerve",45,60,30,80,50,65
0229,Houndoom,"dark, fire","Early Bird, Flash Fire, Unnerve",75,90,50,110,80,95
0248,Tyranitar,"rock, dark","Sand Stream, Unnerve",100,134,110,95,100,61
0261,Poochyena,dark,"Run Away, Quick Feet, Rattled",35,55,35,30,30,35
0262,Mightyena,dark,"Intimidate, Quick Feet, Moxie",70,90,70,60,60,70
0263,Zigzagoon,"dark, normal","Pickup, Gluttony, Quick Feet",38,30,41,30,41,60
0264,Linoone,"dark, normal","Pickup, Gluttony, Quick Feet",78,70,61,50,61,100
0274,Nuzleaf,"grass, dark","Chlorophyll, Early Bird, Pickpocket",70,70,40,60,40,60
0275,Shiftry,"grass, dark","Chlorophyll, Early Bird, Pickpocket",90,100,60,90,60,80
0302,Sableye,"dark, ghost","Keen Eye, Stall, Prankster",50,75,75,65,65,50
0318,Carvanha,"water, dark","Rough Skin, Speed Boost",45,90,20,65,20,65
0319,Sharpedo,"water, dark","Rough Skin, Speed Boost",70,120,40,95,40,95
0332,Cacturne,"grass, dark","Sand Veil, Water Absorb",70,115,60,115,60,55
0342,Crawdaunt,"water, dark","Hyper Cutter, Shell Armor, Adaptability",63,120,85,90,55,55
0359,Absol,dark,"Pressure, Super Luck, Justified",65,130,60,75,60,75
0430,Honchkrow,"dark, flying","Insomnia, Super Luck, Moxie",100,125,52,105,52,71
0434,Stunky,"poison, dark","Stench, Aftermath, Keen Eye",63,63,47,41,41,74
0435,Skuntank,"poison, dark","Stench, Aftermath, Keen Eye",103,93,67,71,61,84
0442,Spiritomb,"ghost, dark","Pressure, Infiltrator",50,92,108,92,108,35
0452,Drapion,"poison, dark","Battle Armor, Sniper, Keen Eye",70,90,110,60,75,95
0461,Weavile,"dark, ice","Pressure, Pickpocket",70,120,65,45,85,125
0491,Darkrai,dark,Bad Dreams,70,90,90,135,90,125
0493,Arceus,dark,Multitype,120,120,120,120,120,120
0503,Samurott,"water, dark","Torrent, Shell Armor",90,108,80,100,65,85
0509,Purrloin,dark,"Limber, Unburden, Prankster",41,50,37,50,37,66
0510,Liepard,dark,"Limber, Unburden, Prankster",64,88,50,88,50,106
0551,Sandile,"ground, dark","Intimidate, Moxie, Anger Point",50,72,35,35,35,65
0552,Krokorok,"ground, dark","Intimidate, Moxie, Anger Point",60,82,45,45,45,74
0553,Krookodile,"ground, dark","Intimidate, Moxie, Anger Point",95,117,80,65,70,92
0559,Scraggy,"dark, fighting","Shed Skin, Moxie, Intimidate",50,75,70,35,70,48
0560,Scrafty,"dark, fighting","Shed Skin, Moxie, Intimidate",65,90,115,45,115,58
0570,Zorua,dark,Illusion,40,65,40,80,40,65
0571,Zoroark,dark,Illusion,60,105,60,120,60,105
0624,Pawniard,"dark, steel","Defiant, Inner Focus, Pressure",45,85,70,40,40,60
0625,Bisharp,"dark, steel","Defiant, Inner Focus, Pressure",65,125,100,60,70,70
0629,Vullaby,"dark, flying","Big Pecks, Overcoat, Weak Armor",70,55,75,45,65,60
0630,Mandibuzz,"dark, flying","Big Pecks, Overcoat, Weak Armor",110,65,105,55,95,80
0633,Deino,"dark, dragon",Hustle,52,65,50,45,50,38
0634,Zweilous,"dark, dragon",Hustle,72,85,70,65,70,58
0635,Hydreigon,"dark, dragon",Levitate,92,105,90,125,90,98
0675,Pangoro,"fighting, dark","Iron Fist, Mold Breaker, Scrappy",95,124,78,69,71,58
0686,Inkay,"dark, psychic","Contrary, Suction Cups, Infiltrator",53,54,53,37,46,45
0687,Malamar,"dark, psychic","Contrary, Suction Cups, Infiltrator",86,92,88,68,75,73
0717,Yveltal,"dark, flying",Dark Aura,126,131,95,131,98,99
0727,Incineroar,"fire, dark","Blaze, Intimidate",95,115,90,80,90,60
0773,Silvally,dark,RKS System,95,95,95,95,95,95
0799,Guzzlord,"dark, dragon",Beast Boost,223,101,53,97,53,43
0827,Nickit,dark,"Run Away, Unburden, Stakeout",40,28,28,47,52,50
0828,Thievul,dark,"Run Away, Unburden, Stakeout",70,58,58,87,92,90
0859,Impidimp,"dark, fairy","Prankster, Frisk, Pickpocket",45,45,30,55,40,50
0860,Morgrem,"dark, fairy","Prankster, Frisk, Pickpocket",65,60,45,75,55,70
0861,Grimmsnarl,"dark, fairy","Prankster, Frisk, Pickpocket",95,120,65,95,75,60
0861,Grimmsnarl,"dark, fairy","Prankster, Frisk, Pickpocket",95,120,65,95,75,60
0862,Obstagoon,"dark, normal","Reckless, Guts, Defiant",93,90,101,60,81,95
0877,Morpeko,"electric, dark",Hunger Switch,58,95,58,70,58,97
0892,Urshifu,"fighting, dark",Unseen Fist,100,130,100,63,60,97
0892,Urshifu,"fighting, dark","Unseen Fist, Unseen Fist",100,130,100,63,60,97
0893,Zarude,"dark, grass",Leaf Guard,105,120,105,70,95,105
0904,Overqwil,"dark, poison","Poison Point, Swift Swim, Intimidate",85,115,95,65,65,85
0103,Exeggutor,"grass, dragon","Frisk, Harvest",95,105,85,125,75,45
0147,Dratini,dragon,"Shed Skin, Marvel Scale",41,64,45,50,50,50
0148,Dragonair,dragon,"Shed Skin, Marvel Scale",61,84,65,70,70,70
0149,Dragonite,"dragon, flying","Inner Focus, Multiscale",91,134,95,100,100,80
0230,Kingdra,"water, dragon","Swift Swim, Sniper, Damp",75,95,95,95,95,85
0329,Vibrava,"ground, dragon",Levitate,50,70,50,50,50,70
0330,Flygon,"ground, dragon",Levitate,80,100,80,80,80,100
0334,Altaria,"dragon, flying","Natural Cure, Cloud Nine",75,70,90,70,105,80
0371,Bagon,dragon,"Rock Head, Sheer Force",45,75,60,40,30,50
0372,Shelgon,dragon,"Rock Head, Overcoat",65,95,100,60,50,50
0373,Salamence,"dragon, flying","Intimidate, Moxie",95,135,80,110,80,100
0380,Latias,"dragon, psychic",Levitate,80,80,90,110,130,110
0381,Latios,"dragon, psychic",Levitate,80,90,80,130,110,110
0384,Rayquaza,"dragon, flying",Air Lock,105,150,90,150,90,95
0443,Gible,"dragon, ground","Sand Veil, Rough Skin",58,70,45,40,45,42
0444,Gabite,"dragon, ground","Sand Veil, Rough Skin",68,90,65,50,55,82
0445,Garchomp,"dragon, ground","Sand Veil, Rough Skin",108,130,95,80,85,102
0483,Dialga,"steel, dragon","Pressure, Telepathy",100,120,120,150,100,90
0483,Dialga,"steel, dragon","Pressure, Telepathy",100,100,120,150,120,90
0484,Palkia,"water, dragon","Pressure, Telepathy",90,120,100,150,120,100
0484,Palkia,"water, dragon","Pressure, Telepathy",90,100,100,150,120,120
0487,Giratina,"ghost, dragon","Pressure, Telepathy",150,100,120,100,120,90
0487,Giratina,"ghost, dragon",Levitate,150,120,100,120,100,90
0493,Arceus,dragon,Multitype,120,120,120,120,120,120
0610,Axew,dragon,"Rivalry, Mold Breaker, Unnerve",46,87,60,30,40,57
0611,Fraxure,dragon,"Rivalry, Mold Breaker, Unnerve",66,117,70,40,50,67
0612,Haxorus,dragon,"Rivalry, Mold Breaker, Unnerve",76,147,90,60,70,97
0621,Druddigon,dragon,"Rough Skin, Sheer Force, Mold Breaker",77,120,90,60,90,48
0633,Deino,"dark, dragon",Hustle,52,65,50,45,50,38
0634,Zweilous,"dark, dragon",Hustle,72,85,70,65,70,58
0635,Hydreigon,"dark, dragon",Levitate,92,105,90,125,90,98
0643,Reshiram,"dragon, fire",Turboblaze,100,120,100,150,120,90
0644,Zekrom,"dragon, electric",Teravolt,100,150,120,120,100,90
0646,Kyurem,"dragon, ice",Pressure,125,130,90,130,90,95
0646,Kyurem,"dragon, ice",Teravolt,125,170,100,120,90,95
0646,Kyurem,"dragon, ice",Turboblaze,125,120,90,170,100,95
0691,Dragalge,"poison, dragon","Poison Point, Poison Touch, Adaptability",65,75,90,97,123,44
0696,Tyrunt,"rock, dragon","Strong Jaw, Sturdy",58,89,77,45,45,48
0697,Tyrantrum,"rock, dragon","Strong Jaw, Rock Head",82,121,119,69,59,71
0704,Goomy,dragon,"Sap Sipper, Hydration, Gooey",45,50,35,55,75,40
0705,Sliggoo,dragon,"Sap Sipper, Hydration, Gooey",68,75,53,83,113,60
0705,Sliggoo,"steel, dragon","Sap Sipper, Overcoat, Gooey",58,75,83,83,113,40
0706,Goodra,dragon,"Sap Sipper, Hydration, Gooey",90,100,70,110,150,80
0706,Goodra,"steel, dragon","Sap Sipper, Overcoat, Gooey",80,100,100,110,150,60
0714,Noibat,"flying, dragon","Frisk, Infiltrator, Telepathy",40,30,35,45,40,55
0715,Noivern,"flying, dragon","Frisk, Infiltrator, Telepathy",85,70,80,97,80,123
0718,Zygarde,"dragon, ground",Aura Break,108,100,121,81,95,95
0718,Zygarde,"dragon, ground",Power Construct,54,100,71,61,85,115
0718,Zygarde,"dragon, ground",Power Construct,216,100,121,91,95,85
0773,Silvally,dragon,RKS System,95,95,95,95,95,95
0776,Turtonator,"fire, dragon",Shell Armor,60,78,135,91,85,36
0780,Drampa,"normal, dragon","Berserk, Sap Sipper, Cloud Nine",78,60,85,135,91,36
0782,Jangmo-o,dragon,"Bulletproof, Soundproof, Overcoat",45,55,65,45,45,45
0783,Hakamo-o,"dragon, fighting","Bulletproof, Soundproof, Overcoat",55,75,90,65,70,65
0784,Kommo-o,"dragon, fighting","Bulletproof, Soundproof, Overcoat",75,110,125,100,105,85
0799,Guzzlord,"dark, dragon",Beast Boost,223,101,53,97,53,43
0804,Naganadel,"poison, dragon",Beast Boost,73,73,73,127,73,121
0840,Applin,"grass, dragon","Ripen, Gluttony, Bulletproof",40,40,80,40,40,20
0841,Flapple,"grass, dragon","Ripen, Gluttony, Hustle",70,110,80,95,60,70
0841,Flapple,"grass, dragon","Ripen, Gluttony, Hustle",70,110,80,95,60,70
0842,Appletun,"grass, dragon","Ripen, Gluttony, Thick Fat",110,85,80,100,80,30
0842,Appletun,"grass, dragon","Ripen, Gluttony, Thick Fat",110,85,80,100,80,30
0880,Dracozolt,"electric, dragon","Volt Absorb, Hustle, Sand Rush",90,100,90,80,70,75
0882,Dracovish,"water, dragon","Water Absorb, Strong Jaw, Sand Rush",90,90,100,70,80,75
0884,Duraludon,"steel, dragon","Light Metal, Heavy Metal, Stalwart",70,95,115,120,50,85
0884,Duraludon,"steel, dragon","Light Metal, Heavy Metal, Stalwart",70,95,115,120,50,85
0885,Dreepy,"dragon, ghost","Clear Body, Infiltrator, Cursed Body",28,60,30,40,30,82
0886,Drakloak,"dragon, ghost","Clear Body, Infiltrator, Cursed Body",68,80,50,60,50,102
0887,Dragapult,"dragon, ghost","Clear Body, Infiltrator, Cursed Body",88,120,75,100,75,142
0890,Eternatus,"poison, dragon",Pressure,140,85,95,145,95,130
0890,Eternatus,"poison, dragon",Pressure,255,115,250,125,250,130
0895,Regidrago,dragon,Dragon's Maw,200,100,50,100,50,80
0025,Pikachu,electric,"Static, Lightning Rod",35,55,40,50,50,90
0025,Pikachu,electric,"Static, Lightning Rod",35,55,40,50,50,90
0026,Raichu,electric,"Static, Lightning Rod",60,90,55,90,80,110
0026,Raichu,"electric, psychic","Surge Surfer, Surge Surfer",60,85,50,95,85,110
0081,Magnemite,"electric, steel","Magnet Pull, Sturdy, Analytic",25,35,70,95,55,45
0082,Magneton,"electric, steel","Magnet Pull, Sturdy, Analytic",50,60,95,120,70,70
0100,Voltorb,electric,"Soundproof, Static, Aftermath",40,30,50,55,55,100
0100,Voltorb,"electric, grass","Soundproof, Static, Aftermath",40,30,50,55,55,100
0101,Electrode,electric,"Soundproof, Static, Aftermath",60,50,70,80,80,150
0101,Electrode,"electric, grass","Soundproof, Static, Aftermath",60,50,70,80,80,150
0125,Electabuzz,electric,"Static, Vital Spirit",65,83,57,95,85,105
0135,Jolteon,electric,"Volt Absorb, Quick Feet",65,65,60,110,95,130
0145,Zapdos,"electric, flying","Pressure, Static",90,90,85,125,90,100
0170,Chinchou,"water, electric","Volt Absorb, Illuminate, Water Absorb",75,38,38,56,56,67
0171,Lanturn,"water, electric","Volt Absorb, Illuminate, Water Absorb",125,58,58,76,76,67
0172,Pichu,electric,"Static, Lightning Rod",20,40,15,35,35,60
0179,Mareep,electric,"Static, Plus",55,40,40,65,45,35
0180,Flaaffy,electric,"Static, Plus",70,55,55,80,60,45
0181,Ampharos,electric,"Static, Plus",90,75,85,115,90,55
0239,Elekid,electric,"Static, Vital Spirit",45,63,37,65,55,95
0243,Raikou,electric,"Pressure, Inner Focus",90,85,75,115,100,115
0309,Electrike,electric,"Static, Lightning Rod, Minus",40,45,40,65,40,65
0310,Manectric,electric,"Static, Lightning Rod, Minus",70,75,60,105,60,105
0311,Plusle,electric,"Plus, Lightning Rod",60,50,40,85,75,95
0312,Minun,electric,"Minus, Volt Absorb",60,40,50,75,85,95
0403,Shinx,electric,"Rivalry, Intimidate, Guts",45,65,34,40,34,45
0404,Luxio,electric,"Rivalry, Intimidate, Guts",60,85,49,60,49,60
0405,Luxray,electric,"Rivalry, Intimidate, Guts",80,120,79,95,79,70
0417,Pachirisu,electric,"Run Away, Pickup, Volt Absorb",60,45,70,45,90,95
0462,Magnezone,"electric, steel","Magnet Pull, Sturdy, Analytic",70,70,115,130,90,60
0466,Electivire,electric,"Motor Drive, Vital Spirit",75,123,67,95,85,95
0479,Rotom,"electric, ghost",Levitate,50,50,77,95,77,91
0479,Rotom,"electric, flying",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, ice",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, fire",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, grass",Levitate,50,65,107,105,107,86
0479,Rotom,"electric, water",Levitate,50,65,107,105,107,86
0493,Arceus,electric,Multitype,120,120,120,120,120,120
0587,Emolga,"electric, flying","Static, Motor Drive",55,75,60,75,60,103
0595,Joltik,"bug, electric","Compoundeyes, Unnerve, Swarm",50,47,50,57,50,65
0596,Galvantula,"bug, electric","Compoundeyes, Unnerve, Swarm",70,77,60,97,60,108
0618,Stunfisk,"ground, electric","Static, Limber, Sand Veil",109,66,84,81,99,32
0642,Thundurus,"electric, flying","Prankster, Defiant",79,115,70,125,80,111
0642,Thundurus,"electric, flying",Volt Absorb,79,105,70,145,80,101
0644,Zekrom,"dragon, electric",Teravolt,100,150,120,120,100,90
0694,Helioptile,"electric, normal","Dry Skin, Sand Veil, Solar Power",44,38,33,61,43,70
0695,Heliolisk,"electric, normal","Dry Skin, Sand Veil, Solar Power",62,55,52,109,94,109
0702,Dedenne,"electric, fairy","Cheek Pouch, Pickup, Plus",67,58,57,81,67,101
0737,Charjabug,"bug, electric",Battery,57,82,95,55,75,36
0738,Vikavolt,"bug, electric",Levitate,77,70,90,145,75,43
0773,Silvally,electric,RKS System,95,95,95,95,95,95
0777,Togedemaru,"electric, steel","Iron Barbs, Lightning Rod, Sturdy",65,98,63,40,73,96
0785,Tapu Koko,"electric, fairy","Electric Surge, Telepathy",70,115,85,95,75,130
0796,Xurkitree,electric,Beast Boost,83,89,71,173,71,83
0807,Zeraora,electric,Volt Absorb,88,112,75,102,80,143
0835,Yamper,electric,"Ball Fetch, Rattled",59,45,50,40,50,26
0836,Boltund,electric,"Strong Jaw, Competitive",69,90,60,90,60,121
0848,Toxel,"electric, poison","Rattled, Static, Klutz",40,38,35,54,35,40
0849,Toxtricity,"electric, poison","Punk Rock, Plus, Technician",75,98,70,114,70,75
0849,Toxtricity,"electric, poison","Punk Rock, Plus, Technician",75,98,70,114,70,75
0871,Pincurchin,electric,"Lightning Rod, Electric Surge",48,101,95,91,85,15
0877,Morpeko,"electric, dark",Hunger Switch,58,95,58,70,58,97
0880,Dracozolt,"electric, dragon","Volt Absorb, Hustle, Sand Rush",90,100,90,80,70,75
0881,Arctozolt,"electric, ice","Volt Absorb, Static, Slush Rush",90,100,90,90,80,55
0894,Regieleki,electric,Transistor,80,100,50,100,50,200
0035,Clefairy,fairy,"Cute Charm, Magic Guard, Friend Guard",70,45,48,60,65,35
0036,Clefable,fairy,"Cute Charm, Magic Guard, Unaware",95,70,73,95,90,60
0038,Ninetales,"ice, fairy","Snow Cloak, Snow Warning",73,67,75,81,100,109
0039,Jigglypuff,"normal, fairy","Cute Charm, Competitive, Friend Guard",115,45,20,45,25,20
0040,Wigglytuff,"normal, fairy","Cute Charm, Competitive, Frisk",140,70,45,85,50,45
0078,Rapidash,"psychic, fairy","Run Away, Pastel Veil, Anticipation",65,100,70,80,80,105
0110,Weezing,"poison, fairy","Levitate, Neutralizing Gas, Misty Surge",65,90,120,85,70,60
0122,Mr. Mime,"psychic, fairy","Soundproof, Filter, Technician",40,45,65,100,120,90
0173,Cleffa,fairy,"Cute Charm, Magic Guard, Friend Guard",50,25,28,45,55,15
0174,Igglybuff,"normal, fairy","Cute Charm, Competitive, Friend Guard",90,30,15,40,20,15
0175,Togepi,fairy,"Hustle, Serene Grace, Super Luck",35,20,65,40,65,20
0176,Togetic,"fairy, flying","Hustle, Serene Grace, Super Luck",55,40,85,80,105,40
0183,Marill,"water, fairy","Thick Fat, Huge Power, Sap Sipper",70,20,50,20,50,40
0184,Azumarill,"water, fairy","Thick Fat, Huge Power, Sap Sipper",100,50,80,60,80,50
0209,Snubbull,fairy,"Intimidate, Run Away, Rattled",60,80,50,40,40,30
0210,Granbull,fairy,"Intimidate, Quick Feet, Rattled",90,120,75,60,60,45
0280,Ralts,"psychic, fairy","Synchronize, Trace, Telepathy",28,25,25,45,35,40
0281,Kirlia,"psychic, fairy","Synchronize, Trace, Telepathy",38,35,35,65,55,50
0282,Gardevoir,"psychic, fairy","Synchronize, Trace, Telepathy",68,65,65,125,115,80
0298,Azurill,"normal, fairy","Thick Fat, Huge Power, Sap Sipper",50,20,40,20,40,20
0303,Mawile,"steel, fairy","Hyper Cutter, Intimidate, Sheer Force",50,85,85,55,55,50
0439,Mime Jr.,"psychic, fairy","Soundproof, Filter, Technician",20,25,45,70,90,60
0468,Togekiss,"fairy, flying","Hustle, Serene Grace, Super Luck",85,50,95,120,115,80
0493,Arceus,fairy,Multitype,120,120,120,120,120,120
0546,Cottonee,"grass, fairy","Prankster, Infiltrator, Chlorophyll",40,27,60,37,50,66
0547,Whimsicott,"grass, fairy","Prankster, Infiltrator, Chlorophyll",60,67,85,77,75,116
0682,Spritzee,fairy,"Healer, Aroma Veil",78,52,60,63,65,23
0683,Aromatisse,fairy,"Healer, Aroma Veil",101,72,72,99,89,29
0684,Swirlix,fairy,"Sweet Veil, Unburden",62,48,66,59,57,49
0685,Slurpuff,fairy,"Sweet Veil, Unburden",82,80,86,85,75,72
0700,Sylveon,fairy,"Cute Charm, Pixilate",95,65,65,110,130,60
0702,Dedenne,"electric, fairy","Cheek Pouch, Pickup, Plus",67,58,57,81,67,101
0703,Carbink,"rock, fairy","Clear Body, Sturdy",50,50,150,50,150,50
0707,Klefki,"steel, fairy","Prankster, Magician",57,80,91,80,87,75
0716,Xerneas,fairy,Fairy Aura,126,131,95,131,98,99
0719,Diancie,"rock, fairy",Clear Body,50,100,150,100,150,50
0730,Primarina,"water, fairy","Torrent, Liquid Voice",80,74,74,126,116,60
0742,Cutiefly,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",40,45,40,55,40,84
0743,Ribombee,"bug, fairy","Honey Gather, Shield Dust, Sweet Veil",60,55,60,95,70,124
0755,Morelull,"grass, fairy","Illuminate, Effect Spore, Rain Dish",40,35,55,65,75,15
0756,Shiinotic,"grass, fairy","Illuminate, Effect Spore, Rain Dish",60,45,80,90,100,30
0764,Comfey,fairy,"Flower Veil, Triage, Natural Cure",51,52,90,82,110,100
0773,Silvally,fairy,RKS System,95,95,95,95,95,95
0778,Mimikyu,"ghost, fairy",Disguise,55,90,80,50,105,96
0785,Tapu Koko,"electric, fairy","Electric Surge, Telepathy",70,115,85,95,75,130
0786,Tapu Lele,"psychic, fairy","Psychic Surge, Telepathy",70,85,75,130,115,95
0787,Tapu Bulu,"grass, fairy","Grassy Surge, Telepathy",70,130,115,85,95,75
0788,Tapu Fini,"water, fairy","Misty Surge, Telepathy",70,75,115,95,130,85
0801,Magearna,"steel, fairy",Soul-Heart,80,95,115,130,115,65
