No,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd
0035,Clefairy,normal,,70,45,48,60,65,35
0036,Clefable,normal,,95,70,73,85,90,60
0039,Jigglypuff,normal,,115,45,20,45,25,20
0040,Wigglytuff,normal,,140,70,45,75,50,45
0052,Meowth,normal,,40,45,35,40,40,90
0053,Persian,normal,,65,70,60,65,65,115
0083,Farfetch'd,"normal, flying",,52,65,55,58,62,60
0084,Doduo,"normal, flying",,35,85,45,35,35,75
0085,Dodrio,"normal, flying",,60,110,70,60,60,100
0108,Lickitung,normal,,90,55,75,60,75,30
0113,Chansey,normal,,250,5,5,35,105,50
0115,Kangaskhan,normal,,105,95,80,40,80,90
0128,Tauros,normal,,75,100,95,40,70,110
0132,Ditto,normal,,48,48,48,48,48,48
0133,Eevee,normal,,55,55,50,45,65,55
0137,Porygon,normal,,65,60,70,85,75,40
0143,Snorlax,normal,,160,110,65,65,110,30
0161,Sentret,normal,,35,46,34,35,45,20
0162,Furret,normal,,85,76,64,45,55,90
0163,Hoothoot,"normal, flying",,60,30,30,36,56,50
0164,Noctowl,"normal, flying",,100,50,50,76,96,70
0173,Cleffa,normal,,50,25,28,45,55,15
0174,Igglybuff,normal,,90,30,15,40,20,15
0175,Togepi,normal,,35,20,65,40,65,20
0176,Togetic,"normal, flying",,55,40,85,80,105,40
0190,Aipom,normal,,55,70,55,40,55,85
0203,Girafarig,"normal, psychic",,70,80,65,90,65,85
0206,Dunsparce,normal,,100,70,70,65,65,45
0209,Snubbull,normal,,60,80,50,40,40,30
0210,Granbull,normal,,90,120,75,60,60,45
0216,Teddiursa,normal,,60,80,50,50,50,40
0217,Ursaring,normal,,90,130,75,75,75,55
0233,Porygon2,normal,,85,80,90,105,95,60
0234,Stantler,normal,,73,95,62,85,65,85
0235,Smeargle,normal,,55,20,35,20,45,75
0241,Miltank,normal,,95,80,105,40,70,100
0242,Blissey,normal,,255,10,10,75,135,55
0001,Bulbasaur,"grass, poison",,45,49,49,65,65,45
0002,Ivysaur,"grass, poison",,60,62,63,80,80,60
0003,Venusaur,"grass, poison",,80,82,83,100,100,80
0013,Weedle,"bug, poison",,40,35,30,20,20,50
0014,Kakuna,"bug, poison",,45,25,50,25,25,35
0015,Beedrill,"bug, poison",,65,80,40,45,80,75
0023,Ekans,poison,,35,60,44,40,54,55
0024,Arbok,poison,,60,85,69,65,79,80
0029,Nidoran♀,poison,,55,47,52,40,40,41
0030,Nidorina,poison,,70,62,67,55,55,56
0031,Nidoqueen,"poison, ground",,90,82,87,75,85,76
0032,Nidoran♂,poison,,46,57,40,40,40,50
0033,Nidorino,poison,,61,72,57,55,55,65
0034,Nidoking,"poison, ground",,81,92,77,85,75,85
0041,Zubat,"poison, flying",,40,45,35,30,40,55
0042,Golbat,"poison, flying",,75,80,70,65,75,90
0043,Oddish,"grass, poison",,45,50,55,75,65,30
0044,Gloom,"grass, poison",,60,65,70,85,75,40
0045,Vileplume,"grass, poison",,75,80,85,100,90,50
0048,Venonat,"bug, poison",,60,55,50,40,55,45
0049,Venomoth,"bug, poison",,70,65,60,90,75,90
0069,Bellsprout,"grass, poison",,50,75,35,70,30,40
0070,Weepinbell,"grass, poison",,65,90,50,85,45,55
0071,Victreebel,"grass, poison",,80,105,65,100,60,70
0072,Tentacool,"water, poison",,40,40,35,50,100,70
0073,Tentacruel,"water, poison",,80,70,65,80,120,100
0088,Grimer,poison,,80,80,50,40,50,25
0089,Muk,poison,,105,105,75,65,100,50
0092,Gastly,"ghost, poison",,30,35,30,100,35,80
0093,Haunter,"ghost, poison",,45,50,45,115,55,95
0094,Gengar,"ghost, poison",,60,65,60,130,75,110
0109,Koffing,poison,,40,65,95,60,45,35
0110,Weezing,poison,,65,90,120,85,70,60
0167,Spinarak,"bug, poison",,40,60,40,40,40,30
0168,Ariados,"bug, poison",,70,90,70,60,60,40
0169,Crobat,"poison, flying",,85,90,80,70,80,130
0211,Qwilfish,"water, poison",,65,95,75,55,55,85
0063,Abra,psychic,,25,20,15,105,55,90
0064,Kadabra,psychic,,40,35,30,120,70,105
0065,Alakazam,psychic,,55,50,45,135,85,120
0079,Slowpoke,"water, psychic",,90,65,65,40,40,15
0080,Slowbro,"water, psychic",,95,75,110,100,80,30
0096,Drowzee,psychic,,60,48,45,43,90,42
0097,Hypno,psychic,,85,73,70,73,115,67
0102,Exeggcute,"grass, psychic",,60,40,80,60,45,40
0103,Exeggutor,"grass, psychic",,95,95,85,125,65,55
0121,Starmie,"water, psychic",,60,75,85,100,85,115
0122,Mr. Mime,psychic,,40,45,65,100,120,90
0124,Jynx,"ice, psychic",,65,50,35,115,95,95
0150,Mewtwo,psychic,,106,110,90,154,90,130
0151,Mew,psychic,,100,100,100,100,100,100
0177,Natu,"psychic, flying",,40,50,45,70,45,70
0178,Xatu,"psychic, flying",,65,75,70,95,70,95
0196,Espeon,psychic,,65,65,60,130,95,110
0199,Slowking,"water, psychic",,95,75,80,100,110,30
0201,Unown,psychic,,48,72,48,72,48,48
0202,Wobbuffet,psychic,,190,33,58,33,58,33
0203,Girafarig,"normal, psychic",,70,80,65,90,65,85
0238,Smoochum,"ice, psychic",,45,30,15,85,65,65
0249,Lugia,"psychic, flying",,106,90,130,90,154,110
0251,Celebi,"psychic, grass",,100,100,100,100,100,100
0074,Geodude,"rock, ground",,40,80,100,30,30,20
0075,Graveler,"rock, ground",,55,95,115,45,45,35
0076,Golem,"rock, ground",,80,110,130,55,65,45
0095,Onix,"rock, ground",,35,45,160,30,45,70
0111,Rhyhorn,"ground, rock",,80,85,95,30,30,25
0112,Rhydon,"ground, rock",,105,130,120,45,45,40
0138,Omanyte,"rock, water",,35,40,100,90,55,35
0139,Omastar,"rock, water",,70,60,125,115,70,55
0140,Kabuto,"rock, water",,30,80,90,55,45,55
0141,Kabutops,"rock, water",,60,115,105,65,70,80
0142,Aerodactyl,"rock, flying",,80,105,65,60,75,130
0185,Sudowoodo,rock,,70,100,115,30,65,30
0213,Shuckle,"bug, rock",,20,10,230,10,230,5
0219,Magcargo,"fire, rock",,50,50,120,80,80,30
0222,Corsola,"water, rock",,55,55,85,65,85,35
0246,Larvitar,"rock, ground",,50,64,50,45,50,41
0247,Pupitar,"rock, ground",,70,84,70,65,70,51
0248,Tyranitar,"rock, dark",,100,134,110,95,100,61
0081,Magnemite,"electric, steel",,25,35,70,95,55,45
0082,Magneton,"electric, steel",,50,60,95,120,70,70
0205,Forretress,"bug, steel",,75,90,140,60,60,40
0208,Steelix,"steel, ground",,75,85,200,55,65,30
0212,Scizor,"bug, steel",,70,130,100,55,80,65
0227,Skarmory,"steel, flying",,65,80,140,40,70,70
0007,Squirtle,water,,44,48,65,50,64,43
0008,Wartortle,water,,59,63,80,65,80,58
0009,Blastoise,water,,79,83,100,85,105,78
0054,Psyduck,water,,50,52,48,65,50,55
0055,Golduck,water,,80,82,78,95,80,85
0060,Poliwag,water,,40,50,40,40,40,90
0061,Poliwhirl,water,,65,65,65,50,50,90
0062,Poliwrath,"water, fighting",,90,85,95,70,90,70
0072,Tentacool,"water, poison",,40,40,35,50,100,70
0073,Tentacruel,"water, poison",,80,70,65,80,120,100
0079,Slowpoke,"water, psychic",,90,65,65,40,40,15
0080,Slowbro,"water, psychic",,95,75,110,100,80,30
0086,Seel,water,,65,45,55,45,70,45
0087,Dewgong,"water, ice",,90,70,80,70,95,70
0090,Shellder,water,,30,65,100,45,25,40
0091,Cloyster,"water, ice",,50,95,180,85,45,70
0098,Krabby,water,,30,105,90,25,25,50
0099,Kingler,water,,55,130,115,50,50,75
0116,Horsea,water,,30,40,70,70,25,60
0117,Seadra,water,,55,65,95,95,45,85
0118,Goldeen,water,,45,67,60,35,50,63
0119,Seaking,water,,80,92,65,65,80,68
0120,Staryu,water,,30,45,55,70,55,85
0121,Starmie,"water, psychic",,60,75,85,100,85,115
0129,Magikarp,water,,20,10,55,15,20,80
0130,Gyarados,"water, flying",,95,125,79,60,100,81
0131,Lapras,"water, ice",,130,85,80,85,95,60
0134,Vaporeon,water,,130,65,60,110,95,65
0138,Omanyte,"rock, water",,35,40,100,90,55,35
0139,Omastar,"rock, water",,70,60,125,115,70,55
0140,Kabuto,"rock, water",,30,80,90,55,45,55
0141,Kabutops,"rock, water",,60,115,105,65,70,80
0158,Totodile,water,,50,65,64,44,48,43
0159,Croconaw,water,,65,80,80,59,63,58
0160,Feraligatr,water,,85,105,100,79,83,78
0170,Chinchou,"water, electric",,75,38,38,56,56,67
0171,Lanturn,"water, electric",,125,58,58,76,76,67
0183,Marill,water,,70,20,50,20,50,40
0184,Azumarill,water,,100,50,80,50,80,50
0186,Politoed,water,,90,75,75,90,100,70
0194,Wooper,"water, ground",,55,45,45,25,25,15
0195,Quagsire,"water, ground",,95,85,85,65,65,35
0199,Slowking,"water, psychic",,95,75,80,100,110,30
0211,Qwilfish,"water, poison",,65,95,75,55,55,85
0222,Corsola,"water, rock",,55,55,85,65,85,35
0223,Remoraid,water,,35,65,35,65,35,65
0224,Octillery,water,,75,105,75,105,75,45
0226,Mantine,"water, flying",,65,40,70,80,140,70
0230,Kingdra,"water, dragon",,75,95,95,95,95,85
0245,Suicune,water,,100,75,115,90,115,85
